Amount reserved for voluntary CEIS in 
SY 2016-17 ($)","Voluntary CEIS
Percent taken for voluntary CEIS during 
SY 2016-17 (%)","Total number of children receiving CEIS under the IDEA in the LEA/ESA during 
2016,Alabama,Fairfield City,,0101440,2014-15,383586,410585,26999,10172,420757,63113.55,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Fayette County,,0101470,2014-15,539453,543494,4041,16299,559793,83968.95,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Florence City,,0101530,2014-15,916008,940181,24173,36315,976496,146474.4,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Fort Payne City,,0101560,2014-15,635827,648466,12639,15374,663840,99576,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Franklin County,,0101590,2014-15,665999,668891,2892,15559,684450,102667.5,1,+,0,1,1,+,+,1,0,1,0,0,102667.5,15,0,+,0,80,3
2016,Alabama,Gadsden City,,0101620,2014-15,1218744,1212022,-6722,65793,1277815,191672.25,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Geneva City,,0101640,2014-15,283470,288040,4570,16585,304625,45693.75,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Geneva County,,0101660,2014-15,579687,580981,1294,7105,588086,88212.9,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Greene County,,0101680,2014-15,306322,302150,-4172,40847,342997,51449.55,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,292,34
2016,Alabama,Guntersville City,,0101690,2014-15,378847,389345,10498,9017,398362,59754.3,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Hale County,,0101710,2014-15,649176,642431,-6745,42727,685158,102773.7,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,0,24
2016,Alabama,Haleyville City,,0101720,2014-15,366712,368214,1502,16472,384686,57702.9,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Hartselle City,,0101730,2014-15,601289,614907,13618,15777,630684,94602.6,2,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Henry County,,0101740,2014-15,562022,561445,-577,21001,582446,87366.9,1,+,†,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
2016,Alabama,Homewood City,,0101760,2014-15,711902,726344,14442,9482,735826,110373.9,1,+,0,1,1,+,+,1,0,0,1,0,110373.9,15,0,+,0,287,10
2016,Alabama,Houston County,,0101770,2014-15,1373318,1389292,15974,42931,1432223,214833.45,1,+,0,1,1,+,+,0,+,+,+,+,+,0,0,+,0,+,+
